#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
359,The Russians Are Coming! The Russians Are Coming!,1966,Norman Jewison,1h 54m,7.0,3.4,"Comédia, Drama",William Rose,"Carl Reiner, Eva Marie Saint, Alan Arkin, Brian Keith, Jonathan Winters",4,0,False
360,The Sand Pebbles,1966,Robert Wise,3h 2m,7.5,3.6,"Aventura, Drama, Guerra, Romance","Richard McKenna, Robert Anderson","Steve McQueen, Richard Attenborough, Richard Crenna, Candice Bergen, Emmanuelle Arsan",8,0,False
361,Who's Afraid of Virginia Woolf?,1966,Mike Nichols,2h 11m,8.0,4.3,Drama,"Ernest Lehman, Edward Albee","Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis, Agnes Flanagan",13,5,False
362,The Sound of Music,1965,Robert Wise,2h 52m,8.1,4.2,"Biografia, Drama, Família, Musical, Romance","Georg Hurdalek, Howard Lindsay, Russel Crouse","Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, Peggy Wood",10,5,True
363,A Thousand Clowns,1965,Fred Coe,1h 58m,7.3,3.6,"Comédia, Drama, Romance",Herb Gardner,"Jason Robards, Martin Balsam, Barbara Harris, Barry Gordon, Sandy Dennis",4,1,False
364,Darling,1965,John Schlesinger,2h 8m,7.0,3.6,"Drama, Romance",Frederic Raphael,"Julie Christie, Dirk Bogarde, Laurence Harvey, José Luis de Villalonga, Roland Culver",5,3,False
365,Doctor Zhivago,1965,David Lean,3h 17m,7.9,4.0,"Drama, Guerra, Romance",Robert Bolt,"Omar Sharif, Julie Christie, Geraldine Chaplin, Tom Courtenay, Alec Guinness",10,5,False
366,Ship of Fools,1965,Stanley Kramer,2h 29m,7.1,3.4,"Drama, Guerra, Romance","Katherine Anne Porter, Abby Mann","Vivien Leigh, Simone Signoret, José Ferrer, Michael Dunn, Oskar Werner",8,2,False
367,My Fair Lady,1964,George Cukor,2h 50m,7.7,3.6,"Drama, Família, Musical, Romance",Alan Jay Lerner,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Gladys Cooper, Wilfrid Hyde-White",12,8,True
368,Becket,1964,Peter Glenville,2h 28m,7.7,3.8,"Biografia, Drama, História",Edward Anhalt,"Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi, David Weston",12,1,False
369,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,1h 35m,8.3,4.3,"Comédia, Guerra","Stanley Kubrick, Peter George, Terry Southern","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",4,0,False
370,Mary Poppins,1964,Robert Stevenson,2h 19m,7.8,3.9,"Comédia, Família, Fantasia, Musical","Bill Walsh, Don DaGradi, P.L. Travers","Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns, Hermione Baddeley",13,5,False
371,Zorba the Greek,1964,Mihalis Kakogiannis,2h 22m,7.6,3.7,"Comédia, Drama",Mihalis Kakogiannis,"Anthony Quinn, Alan Bates, Irene Papas, Lila Kedrova, Sotiris Moustakas",7,3,False
372,Tom Jones,1963,Tony Richardson,2h 9m,6.4,2.9,"Aventura, Comédia, História, Romance",John Osborne,"Albert Finney, Susannah York, Diane Cilento, Hugh Griffith, Edith Evans",9,4,True
373,America America,1963,Elia Kazan,2h 54m,7.7,3.8,"Aventura, Drama",Elia Kazan,"Stathis Giallelis, Estelle Hemsley, Lou Antonio, Salem Ludwig, Frank Wolff",4,1,False
374,Cleopatra,1963,Joseph L. Mankiewicz,3h 12m,7.0,3.5,"Biografia, Drama, História","Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman","Elizabeth Taylor, Richard Burton, Rex Harrison, Pamela Brown, George Cole",9,4,False
375,How the West Was Won,1962,"John Ford, Henry Hathaway, George Marshall, Richard Thorpe",2h 44m,7.1,3.5,"Aventura, Ação, Faroeste, Guerra","John Gay, James R. Webb","James Stewart, John Wayne, Gregory Peck, Henry Fonda, Debbie Reynolds",8,3,False
376,Lilies of the Field,1963,Ralph Nelson,1h 34m,7.5,3.6,"Comédia, Drama",James Poe,"Sidney Poitier, Lillia Skala, Lisa Mann, Isa Crino, Stanley Adams",5,1,False
377,Lawrence of Arabia,1962,David Lean,3h 47m,8.3,4.4,"Aventura, Biografia, Drama, Guerra",Robert Bolt,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif",10,7,True
378,Mutiny on the Bounty,1962,"Lewis Milestone, Carol Reed, George Seaton",2h 58m,7.2,3.5,"Aventura, Drama, História, Romance","Charles Lederer, Charles Nordhoff, James Norman Hall","Marlon Brando, Trevor Howard, Richard Harris, Hugh Griffith, Richard Haydn",7,0,False
379,The Longest Day,1962,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck",2h 58m,7.7,3.8,"Ação, Drama, Guerra, História",Cornelius Ryan,"John Wayne, Robert Ryan, Richard Burton, Henry Fonda, Eddie Albert",5,2,False
380,The Music Man,1962,Morton DaCosta,2h 31m,7.7,3.6,"Comédia, Família, Musical, Romance",Marlon Hargrove,"Robert Preston, Shirley Jones, Buddy Hackett, Hermione Gingold, Paul Ford",6,1,False
381,To Kill a Mockingbird,1962,Robert Mulligan,2h 9m,8.3,4.1,"Drama, Policial","Harper Lee, Horton Foote","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, Mary Badham",8,3,False
382,West Side Story,1961,"Jerome Robbins, Robert Wise",2h 33m,7.6,3.8,"Crime, Drama, Musical","Ernest Lehman, Arthur Laurents, Jerome Robbins","Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn, Rita Moreno",11,10,True
383,Fanny,1961,Joshua Logan,2h 14m,6.8,3.1,"Drama, Romance","S.N. Behrman, Joshua Logan, Marcel Pagnol","Leslie Caron, Maurice Chevalier, Charles Boyer, Horst Buchholz, Georgette Anys",5,0,False
384,Judgment at Nuremberg,1961,Stanley Kramer,2h 59m,8.3,4.3,"Drama, Guerra, História",Abby Mann,"Spencer Tracy, Burt Lancaster, Judy Garland, Maximilian Schell, Montgomery Clift",11,2,False
