#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
440,King Solomon's Mines,1950,"Compton Bennett, Andrew Marton",1h 43m,6.7,3.2,"Aventura, Ação, Romance","Helen Deutsch, H. Rider Haggard","Deborah Kerr, Stewart Granger, Richard Carlson, Hugo Haas, Lowell Gilmore",3,2,False
441,Sunset Boulevard,1950,Billy Wilder,1h 50m,8.4,4.4,"Drama, Filme noir","Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",11,3,False
442,All the King's Men,1949,Robert Rossen,1h 50m,7.4,3.6,"Drama, Filme noir",Robert Rossen,"Broderick Crawford, John Ireland, Joanne Dru, John Derek, Mercedes McCambridge",7,3,True
443,A Letter to Three Wives,1949,Joseph L. Mankiewicz,1h 43m,7.7,3.8,"Comédia, Drama, Romance","Vera Caspary, Joseph L. Mankiewicz","Jeanne Crain, Ann Sothern, Linda Darnell, Jeffrey Lynn, Kirk Douglas",3,2,False
444,Battleground,1949,William A. Wellman,1h 58m,7.4,3.7,"Ação, Drama, Guerra, História",Robert Pirosh,"Van Johnson, John Hodiak, Ricardo Montalban, George Murphy, James Whitmore",6,2,False
445,The Heiress,1949,William Wyler,1h 55m,8.1,4.2,"Drama, Romance","Ruth Goetz, Augustus Goetz, Henry James","Olivia de Havilland, Montgomery Clift, Ralph Richardson, Miriam Hopkins, Vanessa Brown",8,4,False
446,Twelve O'Clock High,1949,Henry King,2h 12m,7.7,3.7,"Drama, Guerra","Henry King, Beirne Lay Jr., Sy Bartlett","Gregory Peck, Hugh Marlowe, Gary Merrill, Millard Mitchell, Dean Jagger",4,2,False
447,Hamlet,1948,Laurence Olivier,2h 34m,7.5,3.7,Drama,Laurence Olivier,"Laurence Olivier, Jean Simmons, John Laurie, Esmond Knight, Anthony Quayle",7,4,True
448,Johnny Belinda,1948,Jean Negulesco,1h 42m,7.7,3.7,Drama,"Irma von Cube, Allen Vincent","Jane Wyman, Lew Ayres, Charles Bickford, Agnes Moorehead, Jan Sterling",12,1,False
449,The Red Shoes,1948,"Michael Powell, Emeric Pressburger",2h 15m,8.1,4.4,"Drama, Musical, Romance","Michael Powell, Emeric Pressburger","Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann, Albert Bassermann",5,2,False
450,The Snake Pit,1948,Anatole Litvak,1h 48m,7.6,3.7,"Drama, Mistério","Frank Partos, Millen Brand","Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm, Glenn Langan",6,1,False
451,The Treasure of the Sierra Madre,1948,John Huston,2h 6m,8.2,4.3,"Aventura, Drama, Faroeste",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane",4,3,False
452,Gentleman's Agreement,1947,Elia Kazan,1h 58m,7.2,3.5,"Drama, Romance",Moss Hart,"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm, Anne Revere",8,3,True
453,Crossfire,1947,Edward Dmytryk,1h 26m,7.3,3.6,"Drama, Filme noir, Mistério, Policial",John Paxton,"Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame, Sam Levene",5,0,False
454,Great Expectations,1946,David Lean,1h 58m,7.8,3.8,"Aventura, Drama, Mistério, Romance","David Lean, Ronald Neame","John Mills, Tony Wager, Valerie Hobson, Jean Simmons, Bernard Miles",5,2,False
455,Miracle on 34th Street,1947,George Seaton,1h 36m,7.9,3.8,"Comédia, Drama, Família, Fantasia",George Seaton,"Maureen O'Hara, John Payne, Edmund Gwenn, Natalie Wood, Gene Lockhart",4,3,False
456,The Bishop's Wife,1947,Henry Koster,1h 49m,7.6,3.5,"Comédia, Drama, Fantasia, Romance","Robert E. Sherwood, Leonardo Bercovici","Cary Grant, Loretta Young, David Niven, Monty Woolley, Elsa Lanchester",5,1,False
457,The Best Years of Our Lives,1946,William Wyler,2h 50m,8.1,4.2,"Drama, Guerra, Romance",Robert E. Sherwood,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Harold Russell",9,7,True
458,Henry V,1944,Laurence Olivier,2h 17m,7.0,3.5,"Biografia, Drama, Guerra, História",Laurence Olivier,"Laurence Olivier, Renée Asherson, Robert Newton, Leslie Banks, Felix Aylmer",4,0,False
459,It's a Wonderful Life,1946,Frank Capra,2h 10m,8.6,4.4,"Drama, Família, Fantasia, Romance","Frances Goodrich, Albert Hackett, Frank Capra","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers",5,0,False
460,The Razor's Edge,1946,Edmund Goulding,2h 25m,7.3,3.5,"Drama, Romance",Lamar Trotti,"Tyrone Power, Gene Tierney, John Payne, Anne Baxter, Clifton Webb",4,1,False
461,The Yearling,1946,Clarence Brown,2h 8m,7.2,3.3,"Drama, Família, Faroeste","Paul Osborn, Marjorie Kinnan Rawlings, John Lee Mahin","Gregory Peck, Jane Wyman, Claude Jarman Jr., Chill Wills, Clem Bevans",7,2,False
462,The Lost Weekend,1945,Billy Wilder,1h 41m,7.9,4.0,"Drama, Filme noir","Charles Brackett, Billy Wilder","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling",7,4,True
463,Anchors Aweigh,1945,"George Sidney, Joseph Barbera, William Hanna",2h 20m,7.0,3.5,"Comédia, Fantasia, Musical",Isobel Lennart,"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi, Dean Stockwell",5,1,False
464,Mildred Pierce,1945,Michael Curtiz,1h 51m,7.9,4.1,"Drama, Filme noir, Mistério, Policial, Romance",Ranald MacDougall,"Joan Crawford, Jack Carson, Ann Blyth, Eve Arden, Bruce Bennett",6,1,False
465,Spellbound,1945,Alfred Hitchcock,1h 51m,7.5,3.8,"Drama, Filme noir, Mistério, Romance, Suspense","Ben Hecht, John Palmer, Hilary St George Saunders","Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll, Rhonda Fleming",6,1,False
466,The Bells of St. Mary's,1945,Leo McCarey,2h 6m,7.2,3.5,Drama,Dudley Nichols,"Bing Crosby, Ingrid Bergman, Henry Travers, William Gargan, Joan Carroll",8,1,False
467,Going My Way,1944,Leo McCarey,2h 6m,7.0,3.3,"Comédia, Drama, Musical","Frank Butler, Frank Cavett, Leo McCarey","Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, Gene Lockhart",10,7,True
468,Double Indemnity,1944,Billy Wilder,1h 47m,8.3,4.3,"Drama, Filme noir, Mistério, Policial, Suspense","Billy Wilder, Raymond Chandler, James M. Cain","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr, Porter Hall",7,0,False
469,Gaslight,1944,George Cukor,1h 54m,7.8,4.0,"Drama, Mistério, Policial, Romance, Suspense","John Van Druten, Walter Reisch, John L. Balderston","Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty, Angela Lansbury",7,2,False
470,Since You Went Away,1944,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick",2h 57m,7.5,3.6,"Drama, Guerra, Romance",David O. Selznick,"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple, Monty Woolley",9,1,False
471,Wilson,1944,Henry King,2h 34m,6.3,2.9,"Biografia, Drama, História, Musical, Romance",Lamar Trotti,"Alexander Knox, Charles Coburn, Geraldine Fitzgerald, Thomas Mitchell, Ruth Nelson",10,5,False
472,Casablanca,1942,Michael Curtiz,1h 42m,8.5,4.3,"Drama, Guerra, Romance","Julius J. Epstein, Philip G. Epstein, Howard Koch","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt",8,3,True
473,For Whom the Bell Tolls,1943,Sam Wood,2h 50m,6.8,3.2,"Aventura, Drama, Guerra, História, Romance",Dudley Nichols,"Gary Cooper, Ingrid Bergman, Akim Tamiroff, Katina Paxinou, Vladimir Sokoloff",9,1,False
474,Heaven Can Wait,1943,Ernst Lubitsch,1h 52m,7.4,3.7,"Comédia, Drama, Fantasia","Samson Raphaelson, Leslie Bush-Fekete","Gene Tierney, Don Ameche, Charles Coburn, Marjorie Main, Laird Cregar",3,0,False
475,In Which We Serve,1942,"Noël Coward, David Lean",1h 55m,7.2,3.4,"Drama, Guerra","Noël Coward, David Lean","Noël Coward, John Mills, Bernard Miles, Celia Johnson, Kay Walsh",2,0,False
476,Madame Curie,1943,"Mervyn LeRoy, Albert Lewin",2h 4m,7.2,3.4,"Biografia, Drama, Romance","Paul Osborn, Hans Rameau, Ève Curie","Greer Garson, Walter Pidgeon, Henry Travers, Albert Bassermann, Robert Walker",7,0,False
477,The Human Comedy,1943,Clarence Brown,1h 57m,7.0,3.2,"Comédia, Drama, Família, Guerra, Romance","William Saroyan, Howard Estabrook","Mickey Rooney, Frank Morgan, James Craig, Marsha Hunt, Fay Bainter",5,1,False
478,The More the Merrier,1943,George Stevens,1h 44m,7.6,3.8,Comédia,"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster","Jean Arthur, Joel McCrea, Charles Coburn, Richard Gaines, Bruce Bennett",6,1,False
479,The Ox-Bow Incident,1943,William A. Wellman,1h 15m,8.0,4.1,"Drama, Faroeste","Lamar Trotti, Harry Chandlee","Henry Fonda, Harry Morgan, Dana Andrews, Mary Beth Hughes, Frank Conroy",1,0,False
480,The Song of Bernadette,1943,Henry King,2h 36m,7.6,3.7,"Biografia, Drama, Mistério","George Seaton, Franz Werfel","Jennifer Jones, Charles Bickford, William Eythe, Gladys Cooper, Anne Revere",12,4,False
481,Watch on the Rhine,1943,"Herman Shumlin, Hal Mohr",1h 54m,7.1,3.3,"Drama, Suspense",Dashiell Hammett,"Bette Davis, Paul Lukas, Geraldine Fitzgerald, Lucile Watson, Beulah Bondi",4,1,False
482,Mrs. Miniver,1942,William Wyler,2h 14m,7.6,3.7,"Drama, Guerra, Romance","Arthur Wimperis, George Froeschel, James Hilton","Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty, Henry Travers",12,6,True
483,49th Parallel,1941,Michael Powell,2h 3m,7.3,3.6,"Drama, Guerra, Suspense",Emeric Pressburger,"Eric Portman, Richard George, Peter Moore, Laurence Olivier, Niall MacGinnis",3,1,False
484,Kings Row,1942,Sam Wood,2h 7m,7.5,3.4,Drama,Casey Robinson,"Ann Sheridan, Robert Cummings, Ronald Reagan, Betty Field, Charles Coburn",3,0,False
485,Random Harvest,1942,Mervyn LeRoy,2h 6m,7.9,3.9,"Drama, Romance","Claudine West, George Froeschel, Arthur Wimperis","Ronald Colman, Greer Garson, Philip Dorn, Susan Peters, Henry Travers",7,0,False
486,The Magnificent Ambersons,1942,"Orson Welles, Fred Fleck, Robert Wise",1h 28m,7.6,3.9,"Drama, Romance","Booth Tarkington, Orson Welles, Joseph Cotten","Tim Holt, Joseph Cotten, Dolores Costello, Anne Baxter, Agnes Moorehead",4,0,False
487,The Pied Piper,1942,Irving Pichel,1h 27m,7.0,3.4,"Drama, Guerra","Nunnally Johnson, Nevil Shute","Monty Woolley, Roddy McDowall, Anne Baxter, Otto Preminger, J. Carrol Naish",3,0,False
488,The Pride of the Yankees,1942,Sam Wood,2h 8m,7.6,3.6,"Biografia, Drama, Esportes, Romance","Jo Swerling, Herman J. Mankiewicz","Gary Cooper, Teresa Wright, Babe Ruth, Walter Brennan, Dan Duryea",11,1,False
489,The Talk of the Town,1942,George Stevens,1h 58m,7.5,3.7,"Comédia, Drama, Romance, Suspense","Irwin Shaw, Sidney Buchman, Dale Van Every","Cary Grant, Jean Arthur, Ronald Colman, Edgar Buchanan, Glenda Farrell",7,0,False
490,Wake Island,1942,John Farrow,1h 28m,6.6,3.2,"Ação, Drama, Guerra","W.R. Burnett, Frank Wead","Brian Donlevy, Macdonald Carey, William Bendix, Robert Preston, Albert Dekker",4,0,False
491,Yankee Doodle Dandy,1942,Michael Curtiz,2h 6m,7.6,3.5,"Biografia, Drama, Família, Musical, Musical",Robert Buckner,"James Cagney, Joan Leslie, Walter Huston, Richard Whorf, Walter Brennan",8,3,False
492,How Green Was My Valley,1941,John Ford,1h 58m,7.7,4.1,"Drama, Família","Philip Dunne, Richard Llewellyn","Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp, Sara Allgood",10,5,True
493,Blossoms in the Dust,1941,Mervyn LeRoy,1h 39m,6.9,3.3,"Biografia, Drama, Romance","Anita Loos, Ralph Wheelwright, Hugo Butler","Greer Garson, Walter Pidgeon, Felix Bressart, Marsha Hunt, Fay Holden",4,1,False
494,Citizen Kane,1941,Orson Welles,1h 59m,8.2,4.2,"Drama, Mistério","Herman J. Mankiewicz, Orson Welles","Joseph Cotten, Orson Welles, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",9,1,False
495,Here Comes Mr. Jordan,1941,Alexander Hall,1h 34m,7.5,3.6,"Comédia, Fantasia, Romance","Sidney Buchman, Seton I. Miller, Harry Segall","Robert Montgomery, Claude Rains, Evelyn Keyes, Rita Johnson, James Gleason",7,2,False
496,Hold Back the Dawn,1941,Mitchell Leisen,1h 56m,7.3,3.6,"Drama, Romance","Charles Brackett, Billy Wilder","Charles Boyer, Olivia de Havilland, Paulette Goddard, Victor Francen, Walter Abel",6,0,False
497,One Foot in Heaven,1941,Irving Rapper,1h 48m,6.6,3.0,"Biografia, Drama, Romance",Casey Robinson,"Fredric March, Martha Scott, Beulah Bondi, Gene Lockhart, Elisabeth Fraser",1,0,False
498,Sergeant York,1941,Howard Hawks,2h 14m,7.7,3.6,"Biografia, Drama, Guerra, História, Romance","Abem Finkel, Harry Chandlee, Howard Koch, John Huston","Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges",11,2,False
499,Suspicion,1941,Alfred Hitchcock,1h 39m,7.3,3.5,"Drama, Filme noir, Mistério, Suspense",Joan Harrison,"Cary Grant, Joan Fontaine, Cedric Hardwicke, Nigel Bruce, Dame May Whitty",3,1,False
500,The Little Foxes,1941,William Wyler,1h 56m,7.9,3.8,"Drama, Romance",Lillian Hellman,"Bette Davis, Herbert Marshall, Teresa Wright, Richard Carlson, Patricia Collinge",9,0,False
501,The Maltese Falcon,1941,John Huston,1h 40m,7.9,3.9,"Drama, Filme noir, Mistério, Policial, Romance",John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Sydney Greenstreet",3,0,False
502,Rebecca,1940,Alfred Hitchcock,2h 10m,8.1,4.1,"Drama, Mistério, Romance, Suspense","Daphne Du Maurier, Robert E. Sherwood, Joan Harrison","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce",11,2,True
503,"All This, and Heaven Too",1940,Anatole Litvak,2h 21m,7.4,3.5,"Drama, Romance","Rachel Field, Casey Robinson","Bette Davis, Charles Boyer, Jeffrey Lynn, Barbara O'Neil, Virginia Weidler",3,0,False
504,Foreign Correspondent,1940,Alfred Hitchcock,2h,7.4,3.7,"Ação, Drama, Guerra, Romance, Suspense","Charles Bennett, Joan Harrison","Joel McCrea, Laraine Day, Herbert Marshall, George Sanders, Albert Bassermann",6,0,False
505,Kitty Foyle,1940,Sam Wood,1h 48m,6.9,3.3,"Drama, Romance",Dalton Trumbo,"Ginger Rogers, Dennis Morgan, James Craig, Eduardo Ciannelli, Gladys Cooper",5,1,False
506,Our Town,1940,Sam Wood,1h 30m,6.5,3.0,"Drama, Família, Romance",Thornton Wilder,"Martha Scott, William Holden, Fay Bainter, Beulah Bondi, Guy Kibbee",6,0,False
507,The Grapes of Wrath,1940,John Ford,2h 9m,8.1,4.2,Drama,Nunnally Johnson,"Henry Fonda, Jane Darwell, John Carradine, Dorris Bowdon, Charley Grapewin",7,2,False
508,The Great Dictator,1940,Charles Chaplin,2h 5m,8.4,4.3,"Comédia, Drama, Guerra",Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",5,0,False
509,The Letter,1940,William Wyler,1h 35m,7.5,3.7,"Drama, Filme noir, Mistério, Policial, Romance",Howard Koch,"Bette Davis, Herbert Marshall, James Stephenson, Frieda Inescort, Bruce Lester",7,0,False
510,The Long Voyage Home,1940,John Ford,1h 45m,6.9,3.6,"Drama, Guerra",Dudley Nichols,"John Wayne, Thomas Mitchell, Ian Hunter, Barry Fitzgerald, Wilfrid Lawson",6,0,False
511,The Philadelphia Story,1940,George Cukor,1h 52m,7.8,4.0,"Comédia, Romance",Donald Ogden Stewart,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey, John Howard",6,2,False
512,Gone with the Wind,1939,Victor Fleming,3h 58m,8.2,3.9,"Drama, Guerra, Romance","Margaret Mitchell, Sidney Howard, Oliver H.P. Garrett","Clark Gable, Vivien Leigh, Thomas Mitchell, Olivia de Havilland, Hattie McDaniel",13,8,True
513,Dark Victory,1939,Edmund Goulding,1h 44m,7.4,3.7,"Drama, Romance","Bertram Millhauser, Humphrey Pearson","Bette Davis, George Brent, Humphrey Bogart, Geraldine Fitzgerald, Ronald Reagan",3,0,False
514,"Goodbye, Mr. Chips",1939,"Sam Wood, Sidney Franklin",1h 54m,7.9,3.7,"Drama, Romance","R.C. Sherriff, Claudine West, Eric Maschwitz","Robert Donat, Greer Garson, Terry Killburn, John Mills, Paul Henreid",7,1,False
515,Love Affair,1939,Leo McCarey,1h 28m,7.3,3.7,"Comédia, Drama, Romance","Delmer Daves, Donald Ogden Stewart","Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman, Astrid Allwyn",6,0,False
516,Mr. Smith Goes to Washington,1939,Frank Capra,2h 9m,8.1,4.1,"Comédia, Drama",Sidney Buchman,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee",11,1,False
517,Ninotchka,1939,Ernst Lubitsch,1h 50m,7.8,4.0,"Comédia, Romance","Charles Brackett, Billy Wilder, Walter Reisch","Greta Garbo, Melvyn Douglas, Felix Bressart, Ina Claire, Bela Lugosi",4,0,False
518,Of Mice and Men,1939,Lewis Milestone,1h 46m,7.8,3.7,"Aventura, Drama",Eugene Solow,"Burgess Meredith, Betty Field, Lon Chaney Jr., Charles Bickford, Roman Bohnen",4,0,False
519,Stagecoach,1939,John Ford,1h 36m,7.8,4.0,"Aventura, Drama, Faroeste",Dudley Nichols,"Claire Trevor, John Wayne, Andy Devine, John Carradine, Thomas Mitchell",7,2,False
520,The Wizard of Oz,1939,"Victor Fleming, George Cukor, Norman Taurog, Richard Thorpe, King Vidor",1h 42m,8.1,3.9,"Aventura, Família, Fantasia, Musical","Noel Langley, Florence Ryerson, Edgar Allan Woolf","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley",5,2,False
521,Wuthering Heights,1939,William Wyler,1h 44m,7.5,3.6,"Drama, Romance","Charles MacArthur, Ben Hecht, Emily Brontë","Merle Oberon, Laurence Olivier, David Niven, Flora Robson, Geraldine Fitzgerald",8,1,False
522,You Can't Take It with You,1938,Frank Capra,2h 6m,7.8,3.8,"Comédia, Drama, Romance",Robert Riskin,"Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold, Spring Byington",7,2,True
523,Alexander's Ragtime Band,1938,Henry King,1h 46m,6.8,3.3,"Drama, Musical, Romance","Kathryn Scola, Lamar Trotti","Tyrone Power, Alice Faye, Don Ameche, Ethel Merman, Jack Haley",6,1,False
524,Boys Town,1938,Norman Taurog,1h 36m,7.2,3.4,"Biografia, Drama, Família","Dore Schary, Robert E. Sherwood","Spencer Tracy, Mickey Rooney, Leslie Fenton, Gene Reynolds, Edward Norris",5,2,False
525,Four Daughters,1938,Michael Curtiz,1h 30m,6.9,3.3,"Drama, Musical, Romance","Julius J. Epstein, Lenore J. Coffee","Claude Rains, Jeffrey Lynn, John Garfield, Frank McHugh, May Robson",5,0,False
526,Grand Illusion,1937,Jean Renoir,1h 53m,8.1,4.2,"Drama, Guerra","Charles Spaak, Jean Renoir","Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim, Julien Carette",1,0,False
527,Jezebel,1938,William Wyler,1h 44m,7.4,3.5,"Drama, Romance","Clements Ripley, Abem Finkel, John Huston","Bette Davis, Henry Fonda, George Brent, Margaret Lindsay, Fay Bainter",5,2,False
528,Pygmalion,1938,"Anthony Asquith, Leslie Howard",1h 36m,7.7,3.7,"Comédia, Drama, Romance",George Bernard Shaw,"Leslie Howard, Wendy Hiller, Wilfrid Lawson, Marie Lohr, Jean Cadell",4,1,False
529,Test Pilot,1938,Victor Fleming,1h 59m,6.8,3.4,"Drama, Romance","Vincent Lawrence, Waldemar Young","Clark Gable, Myrna Loy, Spencer Tracy, Lionel Barrymore, Marjorie Main",3,0,False
530,The Adventures of Robin Hood,1938,"Michael Curtiz, William Keighley",1h 42m,7.9,3.9,"Aventura, Ação, Romance","Norman Reilly Raine, Seton I. Miller","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles",4,3,False
531,The Citadel,1938,King Vidor,1h 50m,7.0,3.3,Drama,"Ian Dalrymple, W.P. Lipscomb, Lewis Galantière","Robert Donat, Rosalind Russell, Ralph Richardson, Rex Harrison, Ben Webster",4,0,False
532,The Life of Emile Zola,1937,William Dieterle,1h 56m,7.1,3.3,"Biografia, Drama","Norman Reilly Raine, Heinz Herald, Geza Herczeg","Paul Muni, Gale Sondergaard, Joseph Schildkraut, Gloria Holden, Donald Crisp",10,3,True
533,A Star Is Born,1937,"William A. Wellman, Jack Conway, Victor Fleming",1h 51m,7.3,3.6,"Drama, Romance","Dorothy Parker, Alan Campbell, Robert Carson","Janet Gaynor, Fredric March, Adolphe Menjou, May Robson, Andy Devine",7,1,False
534,Captains Courageous,1937,Victor Fleming,1h 57m,7.9,3.8,"Aventura, Drama, Família",Delmer Daves,"Spencer Tracy, Freddie Bartholomew, Lionel Barrymore, Melvyn Douglas, Mickey Rooney",4,1,False
535,Dead End,1937,William Wyler,1h 33m,7.2,3.6,"Drama, Filme noir, Policial, Romance","Lillian Hellman, Sidney Kingsley","Sylvia Sidney, Joel McCrea, Humphrey Bogart, Wendy Barrie, Claire Trevor",4,0,False
536,In Old Chicago,1938,Henry King,1h 35m,6.7,3.2,"Ação, Drama, Musical, Romance","Lamar Trotti, Sonya Levien","Tyrone Power, Alice Faye, Don Ameche, Alice Brady, Andy Devine",6,2,False
537,Lost Horizon,1937,Frank Capra,2h 12m,7.6,3.6,"Aventura, Drama, Fantasia, Mistério",Robert Riskin,"Ronald Colman, Jane Wyatt, Edward Everett Horton, John Howard, H.B. Warner",7,2,False
538,One Hundred Men and a Girl,1937,Henry Koster,1h 24m,6.7,3.3,"Comédia, Drama, Musical","Bruce Manning, Charles Kenyon, James Mulhauser","Deanna Durbin, Leopold Stokowski, Adolphe Menjou, Alice Brady, Eugene Pallette",5,1,False
539,Stage Door,1937,Gregory La Cava,1h 32m,7.7,3.9,"Comédia, Drama, Romance","Morrie Rysking, Anthony Veiller","Katharine Hepburn, Ginger Rogers, Adolphe Menjou, Andrea Leeds, Lucille Ball",4,0,False
540,The Awful Truth,1937,Leo McCarey,1h 30m,7.6,3.9,"Comédia, Romance",Viña Delmar,"Irene Dunne, Cary Grant, Ralph Bellamy, Alexander D'Arcy, Cecil Cunningham",6,1,False
541,The Good Earth,1937,"Sidney Franklin, Victor Fleming, Gustav Machatý, Sam Wood",2h 18m,7.5,3.2,"Drama, Romance",Dudley Nichols,"Paul Muni, Luise Rainer, Walter Connolly, Tilly Losch, Charley Grapewin",5,2,False
542,The Great Ziegfeld,1936,Robert Z. Leonard,2h 56m,6.6,3.0,"Drama, Musical",William Anthony McGuire,"William Powell, Myrna Loy, Luise Rainer, Frank Morgan, Fanny Brice",7,3,True
543,A Tale of Two Cities,1935,"Jack Conway, Robert Z. Leonard",2h 8m,7.8,3.7,"Drama, História, Romance","W.P. Lipscomb, S.N. Behrman","Ronald Colman, Elizabeth Allan, Edna May Oliver, Reginald Owen, Basil Rathbone",2,0,False
544,Anthony Adverse,1936,"Mervyn LeRoy, Michael Curtiz",2h 21m,6.3,2.9,"Aventura, Drama, Romance",Sheridan Gibney,"Fredric March, Olivia de Havilland, Donald Woods, Gale Sondergaard, Edmund Gwenn",7,4,False
545,Dodsworth,1936,William Wyler,1h 41m,7.7,3.8,"Drama, Romance",Sidney Howard,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor, Maria Ouspenskaya",7,1,False
546,Libeled Lady,1936,Jack Conway,1h 38m,7.8,3.8,"Comédia, Romance","Maurine Dallas Watkins, Howard Emmett Rogers, George Oppenheimer","Jean Harlow, William Powell, Myrna Loy, Spencer Tracy, Walter Connolly",1,0,False
547,Mr. Deeds Goes to Town,1936,Frank Capra,1h 55m,7.8,3.9,"Comédia, Drama, Romance",Robert Riskin,"Gary Cooper, Jean Arthur, George Bancroft, Lionel Stander, H.B. Warner",5,1,False
548,Romeo and Juliet,1936,George Cukor,2h 5m,6.5,3.1,"Drama, Romance",Talbot Jennings,"Norma Shearer, Leslie Howard, John Barrymore, Conway Tearle, Ralph Forbes",4,0,False
549,San Francisco,1936,W.S. Van Dyke,1h 55m,7.1,3.4,"Drama, Musical, Romance","Robert E. Hopkins, Casey Robinson, William R. Lipman","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt, Jessie Ralph",6,1,False
550,The Story of Louis Pasteur,1936,William Dieterle,1h 26m,7.3,3.4,"Biografia, Drama, História","Sheridan Gibney, Pierre Collings","Paul Muni, Anita Louise, Josephine Hutchinson, Donald Woods, Fritz Leiber",4,3,False
551,Three Smart Girls,1936,Henry Koster,1h 24m,6.6,3.2,"Comédia, Musical, Romance",Adele Comandini,"Binnie Barnes, Charles Winninger, Alice Brady, Ray Milland, Ernest Cossart",3,0,False
552,Mutiny on the Bounty,1935,Frank Lloyd,2h 12m,7.6,3.7,"Aventura, Biografia, Drama, História, Romance","Talbot Jennings, Jules Furthman, Carey Wilson","Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan",8,1,True
553,A Midsummer Night's Dream,1935,"William Dieterle, Max Reinhardt",2h 13m,6.8,3.4,"Comédia, Fantasia, Romance","Charles Kenyon, Mary C. McCall Jr.","Ian Hunter, Verree Teasdale, Dick Powell, Ross Alexander, Olivia de Havilland",4,2,False
554,Alice Adams,1935,George Stevens,1h 39m,6.8,3.3,"Comédia, Drama, Romance","Dorothy Yost, Sarah Y. Mason","Katharine Hepburn, Fred MacMurray, Fred Stone, Frank Albertson, Fred Kohler Jr.",2,0,False
555,Broadway Melody of 1936,1935,"Roy Del Ruth, W.S. Van Dyke",1h 41m,6.7,3.3,"Comédia, Musical, Romance","Jack McGowan, Sid Silvers","Jack Benny, Eleanor Powell, Robert Taylor, Sid Silvers, Una Merkel",3,1,False
556,Captain Blood,1935,Michael Curtiz,1h 59m,7.7,3.7,"Aventura, Ação, História, Romance",Casey Robinson,"Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone, Ross Alexander",5,0,False
557,David Copperfield,1935,George Cukor,2h 10m,7.3,3.4,"Aventura, Drama, Família, Romance",Howard Estabrook,"Edna May Oliver, Elizabeth Allen, Jessie Ralph, Harry Beresford, Freddie Bartholomew",3,0,False
558,Les Misérables,1935,Richard Boleslawski,1h 48m,7.7,3.6,"Drama, História, Romance","Victor Hugo, W.P. Lipscomb","Fredric March, Charles Laughton, Cedric Hardwicke, Rochelle Hudson, Frances Drake",4,0,False
559,Naughty Marietta,1935,"Robert Z. Leonard, W.S. Van Dyke",1h 45m,6.5,3.2,"Drama, Musical, Romance","Rida Johnson Young, John Lee Mahin, Frances Goodrich, Albert Hackett","Jeanette MacDonald, Nelson Eddy, Frank Morgan, Elsa Lanchester, Douglass Dumbrille",2,1,False
